PERMNO,date,SHRCD,EXCHCD,TICKER,COMNAM,SHRCLS,TRDSTAT,PERMCO,DLSTCD,DLRET,RET,BID,ASK
90215,1/24/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.020125,223.16,223.17
90215,1/25/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.034255,215.67999,215.69
90215,1/26/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.020382,210.85001,211
90215,1/27/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.008246,212.67999,212.69
90215,1/28/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.044138,222.06,222.07001
90215,1/31/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.04727,232.7,232.71001
90215,2/1/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.002192,232.07001,232.10001
90215,2/2/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.030631,224.84,224.85001
90215,2/3/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.054398,212.82001,212.83
90215,2/4/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.030361,219.22,219.23
90215,2/7/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.010309,216.81,216.82001
